,video_id,views,subscriberCount,category_id_1,category_id_2,category_id_10,category_id_15,category_id_17,category_id_19,category_id_20,category_id_22,category_id_23,category_id_24,category_id_25,category_id_26,category_id_27,category_id_28,category_id_29
26,_C1pZ0KL0MM,60140,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,6sexVZpv5RI,9854,20917.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,vmd4px8348Y,23903,32760.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,kKt7R582Umk,12463,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,9D2iNVZ9kJk,5815,16992.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,pw4BYR6njRI,10352,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,wbSwFU6tY1c,14816949,2513320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,48bqj6TqVms,136365,189.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,k8Bt_phVS5Y,137962,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,oXd60ArCFrE,1306752,2329910.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,4WFStwCSdqM,444621,871622.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,Iaafx-x9T6E,53781,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,H9KIeijkNTc,79505,97084.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,h5isK6A2giQ,207610,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,J156zfTzMTM,223565,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,4lISApbG9Ek,34854,14750.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,y4Id2KGDbb8,88496,344556.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,AlI4Q_Pe3BI,7113,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,palw25wDVnA,13608,106229.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,_vXYt1zQLqA,21744,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,9vfxkTTSKJ4,10467,91664.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,V1YAomM4_G4,10616,62333.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48,9H3LBeqxT8c,118337,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,dol3ryJcsio,127915,58689.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,VAL1khzhGQw,2314506,2070670.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,D3UgKhoZbSI,61152,255660.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,8TGSLIjeKnw,14834,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,HaZzVUBlEGE,57668,651453.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,J_loNEewV8s,25669,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,QghTQMLZvTo,41437,751943.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,RdveHyJ7kjk,63490,1030494.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,LTDy5e1W_GU,14346,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,Wb2TT6X0CKc,344412,316963.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,jfeKoBCmBRc,95266,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,kpeCmYPB9e8,132727,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,j4Y_pS5ha3A,62836,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,MnQYdnYWCPQ,122972,100264.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63,J5T6Y4YDkGg,7634,21403.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,DHEgmES0HfU,72459,376285.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,0ovTFlKXcy0,31013,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66,7UQSgAjKYdk,114223,652980.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,3Xn7nGqiJCU,957641,6604013.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68,U7pzUOdzYYk,223959,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
69,Fmx-IEa83JU,7757,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,U9Tkv9FjyNw,156835,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
71,NwkoKEOUYaA,12442,33745.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,T17xaPhX5dU,10068,13168.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,2X6O10gGfzQ,7198,153389.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74,A04PARdtEss,33053,150642.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,S-xBo-o6Ky0,31920,371.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,ij13ux8rK9k,59100,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
77,6niuasak0AY,26050,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,hNg2uOe28ak,112230,763583.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,VV7LMEbd1Es,343253,500500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,EBK5N6al6bo,230830,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,LTJKYH3OG70,293449,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
82,sC32d0BmcJk,38067,219574.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
83,W9g0-vPBkXc,19255,107215.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
